budget_pct,model,acc_drop,first_shot_run,fps,max_util_pct,pred_LUTs,logic_LUTs,lutrams,srls,pred_FFs,pred_BRAM,pred_DSP,onnx_path,folding_config,fifo_depths
20.0,SAT6_T2W2_DROP1,1,12,12207.03,14.55,6043,4546,0,1497,5070,3.5,32,/home/arthurely/Desktop/finn_chi2p/hara/fps_campaign_results/SAT6_T2W2_DROP1_20260416_060316/run0_get_initial_fold/intermediate_models/step_generate_estimate_reports.onnx,"{'Defaults': {}, 'FMPadding_rtl_0': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_0': {'SIMD': 2, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_0': {'PE': 1, 'SIMD': 18, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_1': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_1': {'SIMD': 2, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_1': {'PE': 1, 'SIMD': 9, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_2': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_2': {'SIMD': 1, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_2': {'PE': 1, 'SIMD': 3, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_3': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_3': {'SIMD': 1, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_3': {'PE': 1, 'SIMD': 1, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'MVAU_hls_4': {'PE': 1, 'SIMD': 1, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'LabelSelect_hls_0': {'PE': 1}}","{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 183, 'StreamingFIFO_3': 291, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 106, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 33, 'StreamingFIFO_8': 97, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 48, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 83, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 160, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
30.0,SAT6_T2W2_DROP1,1,19,24414.06,28.64,5426,4108,0,1318,5638,3.5,63,/home/arthurely/Desktop/finn_chi2p/hara/fps_campaign_results/SAT6_T2W2_DROP1_20260416_060316/run0_get_initial_fold/intermediate_models/step_generate_estimate_reports.onnx,"{'Defaults': {}, 'FMPadding_rtl_0': {'SIMD': 2}, 'ConvolutionInputGenerator_rtl_0': {'SIMD': 4, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_0': {'PE': 1, 'SIMD': 36, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_1': {'SIMD': 2}, 'ConvolutionInputGenerator_rtl_1': {'SIMD': 4, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_1': {'PE': 1, 'SIMD': 18, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_2': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_2': {'SIMD': 1, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_2': {'PE': 1, 'SIMD': 6, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_3': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_3': {'SIMD': 1, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_3': {'PE': 1, 'SIMD': 2, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'MVAU_hls_4': {'PE': 1, 'SIMD': 1, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'LabelSelect_hls_0': {'PE': 1}}","{'StreamingFIFO_0': 434, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 94, 'StreamingFIFO_3': 137, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 87, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 32, 'StreamingFIFO_8': 57, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 48, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 39, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 89, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
40.0,SAT6_T2W2_DROP1,1,19,24414.06,28.64,5426,4108,0,1318,5638,3.5,63,/home/arthurely/Desktop/finn_chi2p/hara/fps_campaign_results/SAT6_T2W2_DROP1_20260416_060316/run0_get_initial_fold/intermediate_models/step_generate_estimate_reports.onnx,"{'Defaults': {}, 'FMPadding_rtl_0': {'SIMD': 2}, 'ConvolutionInputGenerator_rtl_0': {'SIMD': 4, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_0': {'PE': 1, 'SIMD': 36, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_1': {'SIMD': 2}, 'ConvolutionInputGenerator_rtl_1': {'SIMD': 4, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_1': {'PE': 1, 'SIMD': 18, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_2': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_2': {'SIMD': 1, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_2': {'PE': 1, 'SIMD': 6, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_3': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_3': {'SIMD': 1, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_3': {'PE': 1, 'SIMD': 2, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'MVAU_hls_4': {'PE': 1, 'SIMD': 1, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'LabelSelect_hls_0': {'PE': 1}}","{'StreamingFIFO_0': 434, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 94, 'StreamingFIFO_3': 137, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 87, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 32, 'StreamingFIFO_8': 57, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 48, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 39, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 89, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
10.0,SAT6_T2W2_DROP2,2,8,8012.82,9.8,5215,4214,0,1001,4539,3.1,18,/home/arthurely/Desktop/finn_chi2p/hara/fps_campaign_results/SAT6_T2W2_DROP2_20260416_060407/run0_get_initial_fold/intermediate_models/step_generate_estimate_reports.onnx,"{'Defaults': {}, 'FMPadding_rtl_0': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_0': {'SIMD': 1, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_0': {'PE': 1, 'SIMD': 12, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_1': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_1': {'SIMD': 1, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_1': {'PE': 1, 'SIMD': 3, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_2': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_2': {'SIMD': 1, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_2': {'PE': 1, 'SIMD': 1, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_3': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_3': {'SIMD': 1, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_3': {'PE': 1, 'SIMD': 1, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'MVAU_hls_4': {'PE': 1, 'SIMD': 1, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'LabelSelect_hls_0': {'PE': 1}}","{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 52, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 112, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 81, 'StreamingFIFO_8': 246, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 105, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 108, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
20.0,SAT6_T2W2_DROP2,2,13,15024.04,14.55,4874,3813,0,1061,4710,4.1,32,/home/arthurely/Desktop/finn_chi2p/hara/fps_campaign_results/SAT6_T2W2_DROP2_20260416_060407/run0_get_initial_fold/intermediate_models/step_generate_estimate_reports.onnx,"{'Defaults': {}, 'FMPadding_rtl_0': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_0': {'SIMD': 2, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_0': {'PE': 1, 'SIMD': 18, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_1': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_1': {'SIMD': 13, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_1': {'PE': 1, 'SIMD': 9, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_2': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_2': {'SIMD': 1, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_2': {'PE': 1, 'SIMD': 3, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_3': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_3': {'SIMD': 1, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_3': {'PE': 1, 'SIMD': 1, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'MVAU_hls_4': {'PE': 1, 'SIMD': 1, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'LabelSelect_hls_0': {'PE': 1}}","{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 183, 'StreamingFIFO_3': 211, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 130, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 2, 'StreamingFIFO_8': 88, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 72, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 108, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
30.0,SAT6_T2W2_DROP2,2,18,30048.08,24.55,4361,3813,0,548,5265,3.6,54,/home/arthurely/Desktop/finn_chi2p/hara/fps_campaign_results/SAT6_T2W2_DROP2_20260416_060407/run0_get_initial_fold/intermediate_models/step_generate_estimate_reports.onnx,"{'Defaults': {}, 'FMPadding_rtl_0': {'SIMD': 2}, 'ConvolutionInputGenerator_rtl_0': {'SIMD': 4, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_0': {'PE': 1, 'SIMD': 36, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_1': {'SIMD': 13}, 'ConvolutionInputGenerator_rtl_1': {'SIMD': 13, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_1': {'PE': 1, 'SIMD': 13, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_2': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_2': {'SIMD': 1, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_2': {'PE': 1, 'SIMD': 3, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_3': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_3': {'SIMD': 1, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_3': {'PE': 1, 'SIMD': 1, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'MVAU_hls_4': {'PE': 1, 'SIMD': 1, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'LabelSelect_hls_0': {'PE': 1}}","{'StreamingFIFO_0': 434, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 94, 'StreamingFIFO_3': 73, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 2, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 112, 'StreamingFIFO_8': 77, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 72, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 108, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
40.0,SAT6_T2W2_DROP2,2,18,30048.08,24.55,4361,3813,0,548,5265,3.6,54,/home/arthurely/Desktop/finn_chi2p/hara/fps_campaign_results/SAT6_T2W2_DROP2_20260416_060407/run0_get_initial_fold/intermediate_models/step_generate_estimate_reports.onnx,"{'Defaults': {}, 'FMPadding_rtl_0': {'SIMD': 2}, 'ConvolutionInputGenerator_rtl_0': {'SIMD': 4, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_0': {'PE': 1, 'SIMD': 36, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_1': {'SIMD': 13}, 'ConvolutionInputGenerator_rtl_1': {'SIMD': 13, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_1': {'PE': 1, 'SIMD': 13, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_2': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_2': {'SIMD': 1, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_2': {'PE': 1, 'SIMD': 3, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_3': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_3': {'SIMD': 1, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_3': {'PE': 1, 'SIMD': 1, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'MVAU_hls_4': {'PE': 1, 'SIMD': 1, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'LabelSelect_hls_0': {'PE': 1}}","{'StreamingFIFO_0': 434, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 94, 'StreamingFIFO_3': 73, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 2, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 112, 'StreamingFIFO_8': 77, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 72, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 108, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
10.0,SAT6_T2W2_DROP3,3,8,8012.82,9.8,5215,4214,0,1001,4539,3.1,18,/home/arthurely/Desktop/finn_chi2p/hara/fps_campaign_results/SAT6_T2W2_DROP3_20260416_060449/run0_get_initial_fold/intermediate_models/step_generate_estimate_reports.onnx,"{'Defaults': {}, 'FMPadding_rtl_0': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_0': {'SIMD': 1, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_0': {'PE': 1, 'SIMD': 12, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_1': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_1': {'SIMD': 1, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_1': {'PE': 1, 'SIMD': 3, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_2': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_2': {'SIMD': 1, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_2': {'PE': 1, 'SIMD': 1, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_3': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_3': {'SIMD': 1, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_3': {'PE': 1, 'SIMD': 1, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'MVAU_hls_4': {'PE': 1, 'SIMD': 1, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'LabelSelect_hls_0': {'PE': 1}}","{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 52, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 112, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 81, 'StreamingFIFO_8': 246, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 105, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 108, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
20.0,SAT6_T2W2_DROP3,3,13,15024.04,14.55,4874,3813,0,1061,4710,4.1,32,/home/arthurely/Desktop/finn_chi2p/hara/fps_campaign_results/SAT6_T2W2_DROP3_20260416_060449/run0_get_initial_fold/intermediate_models/step_generate_estimate_reports.onnx,"{'Defaults': {}, 'FMPadding_rtl_0': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_0': {'SIMD': 2, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_0': {'PE': 1, 'SIMD': 18, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_1': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_1': {'SIMD': 13, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_1': {'PE': 1, 'SIMD': 9, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_2': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_2': {'SIMD': 1, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_2': {'PE': 1, 'SIMD': 3, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_3': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_3': {'SIMD': 1, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_3': {'PE': 1, 'SIMD': 1, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'MVAU_hls_4': {'PE': 1, 'SIMD': 1, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'LabelSelect_hls_0': {'PE': 1}}","{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 183, 'StreamingFIFO_3': 211, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 130, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 2, 'StreamingFIFO_8': 88, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 72, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 108, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
30.0,SAT6_T2W2_DROP3,3,18,30048.08,24.55,4361,3813,0,548,5265,3.6,54,/home/arthurely/Desktop/finn_chi2p/hara/fps_campaign_results/SAT6_T2W2_DROP3_20260416_060449/run0_get_initial_fold/intermediate_models/step_generate_estimate_reports.onnx,"{'Defaults': {}, 'FMPadding_rtl_0': {'SIMD': 2}, 'ConvolutionInputGenerator_rtl_0': {'SIMD': 4, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_0': {'PE': 1, 'SIMD': 36, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_1': {'SIMD': 13}, 'ConvolutionInputGenerator_rtl_1': {'SIMD': 13, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_1': {'PE': 1, 'SIMD': 13, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_2': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_2': {'SIMD': 1, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_2': {'PE': 1, 'SIMD': 3, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'FMPadding_rtl_3': {'SIMD': 1}, 'ConvolutionInputGenerator_rtl_3': {'SIMD': 1, 'parallel_window': 0, 'ram_style': 'distributed'}, 'MVAU_hls_3': {'PE': 1, 'SIMD': 1, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'MVAU_hls_4': {'PE': 1, 'SIMD': 1, 'ram_style': 'block', 'resType': 'dsp', 'mem_mode': 'internal_decoupled', 'runtime_writeable_weights': 0}, 'LabelSelect_hls_0': {'PE': 1}}","{'StreamingFIFO_0': 434, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 94, 'StreamingFIFO_3': 73, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 2, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 112, 'StreamingFIFO_8': 77, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 72, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 108, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
